ตาราง 1.8 : ตัวชี้วัดความยากจนและการกระจายรายได้ ทั่วราชอาณาจักร ปี 2531-2567,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ประชากรทั่วประเทศ (ล้านคน),  52.4 ,  54.5 ,  55.6 ,  56.6 ,  57.6 ,  58.7 ,  60.9 ,  61.2 ,  61.8 ,  62.8 ,  63.5 ,  64.2 ,  65.0 ,  66.0 ,  66.2 ,  66.7 ,  67.2 ,  67.6 ,  68.0 ,  68.2 ,  68.9 ,  69.1 ,  69.3 ,  69.5 ,  69.7 ,  69.9 ,  70.0 ,  70.2 
จำนวนครัวเรือนทั้งหมด (พันครัวเรือน),"  13,061 ","  13,332 ","  14,341 ","  15,059 ","  15,760 ","  15,801 ","  16,948 ","  17,551 ","  18,133 ","  19,043 ","  19,384 ","  19,526 ","  20,058 ","  20,764 ","  21,346 ","  21,906 ","  22,744 ","  22,891 ","  23,910 ","  23,897 ","  24,503 ","  24,707 ","  25,889 ","  25,440 ","  25,818 ","  27,004 ","  26,863 ","  27,878 "
"ที่มา : ข้อมูลจากการสำรวจภาวะเศรษฐกิจและสังคมของครัวเรือน สำนักงานสถิติแห่งชาติ, ประมวลผลโดย กองพัฒนาข้อมูลและตัวชี้วัดสังคม  สศช. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
       :  ตั้งแต่ปี 2549 เป็นต้นไป ข้อมูลการสำรวจภาวะเศรษฐกิจและสังคมของครัวเรือน มีการบันทึกข้อมูลรายได้ติดลบหรือขาดทุน,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       : na.  ไม่มีข้อมูล,,,,,,,,,,,,,,,,,,,,,,,,,,,,
หมายเหตุ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      ช่องว่างความยากจน (Poverty Gap Ratio) หมายถึง ช่องว่างระหว่างรายจ่ายของคนที่ตกอยู่ใต้เส้นความยากจนกับเส้นความยากจน เพื่อบ่งชี้ว่าคนจนเหล่านี้มีระดับรายจ่ายต่ำกว่าเส้นความยากจนมากน้อยเพียงใด โดยเป็นการหาค่าเฉลี่ยร้อยละของช่องว่างระหว่างเส้นความยากจนกับรายจ่ายเฉลี่ยต่อคนต่อเดือนของครัวเรือนยากจน คนจนที่มีรายจ่ายต่ำกว่าเส้นความยากจนมากก็จะมีความยากลำบากมากกว่าผู้ที่มีรายจ่ายใกล้เส้นความยากจน,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        ความรุนแรงของปัญหาความยากจน (Severity of Poverty) เป็นการวัดที่พิจารณาให้ความสำคัญกับกลุ่มคนจนที่มีปัญหาความยากจนรุนแรงหรือมีรายจ่ายต่ำกว่าเส้นความยากจนมาก ๆ เพื่อบ่งชี้ภาวะการกระจายรายจ่ายในกลุ่มคนจนที่อยู่ใต้เส้นความยากจน โดยทำการถ่วงน้ำหนักมากให้กับค่าที่ต่ำกว่าเส้นความยากจนมาก ตัวชี้วัดนี้จะช่วยตรวจสอบติดตามความก้าวหน้าของสถานการณ์ของความยากจนที่สุดซึ่งแม้จะมีจำนวนน้อย แต่เป็นกลุ่มที่จะหลุดพ้นจากความยากจนได้ยากที่สุด,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      เส้นความยากจน (Poverty line) เป็นเครื่องมือสำหรับใช้วัดภาวะความยากจน โดยคำนวณจากต้นทุนหรือมูลค่าในการได้มาซึ่งอาหาร (Food) และสินค้าบริการในหมวดที่ไม่ใช่อาหาร (Non-food) ที่เป็นสิ่งจำเป็นพื้นฐานในการดำรงชีวิตขั้นต่ำของปัจเจกบุคคลเพื่อให้สามารถดำรงชีวิตอยู่ได้ในสังคม ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      สัดส่วนคนจน หมายถึง ร้อยละของประชากรที่มีรายจ่ายเพื่อการอุปโภคบริโภคเฉลี่ยต่อคนต่อเดือนต่ำกว่าเส้นความยากจน,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      จำนวนคนจน หมายถึงจำนวนประชากรที่มีรายจ่ายเพื่อการอุปโภคบริโภคเฉลี่ยต่อคนต่อเดือนต่ำกว่าเส้นความยากจน ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      ค่าสัมประสิทธิ์ จีนี่ (Gini coefficient) เป็นเครื่องมือในการวัดความไม่เท่าเทียมในรูปของสัดส่วน (Gini ratio) ซึ่งค่าอยู่ระหว่าง 0 กับ 1 ยิ่งค่าเข้าใกล้ 1 มากเท่าไร แสดงว่าความไม่เท่าเทียมกันของรายได้ยิ่งมีมากขึ้น  โดยคำนวณจากการใช้ค่าของพื้นที่ระหว่าง Lorenz curve ของการกระจายรายได้กับเส้นการกระจายรายได้สัมบูรณ์เป็นตัวตั้ง และค่าของพื้นที่ใต้เส้นการกระจายรายได้สัมบูรณ์ทั้งหมดเป็นตัวหาร ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
