date,Thailand,Indonesia,Malaysia,Philippines,Cambodia,Germany,United States
2015-12,,,0.4671046239620935,,,1.1740004924809488,0.6102377285419545
2016-01,,,0.3926572176401948,,,1.0772939417675431,0.5661209750066702
2016-02,,,0.34689584440309873,,,1.0978184689852954,0.5278160093622619
2016-03,,,0.3564207101572036,,,1.1540203261991195,0.5521198496331968
2016-04,,,0.4230960166407509,,,1.1840161783426493,0.5684985245983922
2016-05,,,0.4078490928694631,,,1.2381242868923759,0.6115585894262444
2016-06,,,0.4051068008838693,,,1.255576592701859,0.6400891845269072
2016-07,,,0.4227804028848545,,,1.2259375532355017,0.6353340853434634
2016-08,,0.4901934706229713,0.44712043263373064,,,1.2224916953946985,0.621068787793132
2016-09,,0.5069590613405217,0.4381258049040395,,,1.234602526419709,0.6324281913980255
2016-10,,0.5183627110600172,0.4435835992037555,,,1.247728822822287,0.648278522009505
2016-11,,0.5059370779173081,0.4599125292360646,,,1.2137657209128851,0.6443159393566351
2016-12,,0.5146968323766685,0.4371952244829325,,,1.2416943915223553,0.6630721639135522
2017-01,,0.5391093912855962,0.48267272275009404,0.6239484960413673,,1.27734180216406,0.6815642162936115
2017-02,,0.539805804861701,0.48371130309575233,0.6319975225089209,,1.2745583358616908,0.6783941501713157
2017-03,,0.5395675366193995,0.49173759151344754,0.6189282221533368,,1.2565338155345305,0.6746957396953037
2017-04,,0.5487236537478577,0.48758336880942243,0.6206374413709052,,1.262534242758112,0.6823567328241855
2017-05,,0.5479604237460527,0.46630227509169647,0.6147802311060351,,1.2767019563579978,0.6762807727564517
2017-06,,0.548666739822232,0.4469497317132809,0.5944296880320822,,1.2663651832799308,0.6633363360904103
2017-07,,0.5470221761291512,0.455910855085878,0.6047297101666712,,1.298660864090332,0.6593737534375405
2017-08,,0.5471603502126055,0.476290759632397,0.6385316970725485,,1.3449672706910545,0.6855267989464814
2017-09,,0.5485401692960277,0.4991563604628278,0.6654446415769026,,1.3864729295476492,0.7357195125494993
2017-10,,0.5395724664300925,0.50313349887667,0.6705582059110653,,1.391117867611009,0.7380970621412212
2017-11,,0.5397583804882521,0.532861982505805,0.6917112277938112,,1.379001835146759,0.7684768624798898
2017-12,,0.5388531580854916,0.5470775608454745,0.7151502905174241,,1.3956604559183825,0.7684768624798898
2018-01,,0.5450136477390146,0.5892667258942234,0.7628352758268603,,1.4740833580649038,0.7972716297574106
2018-02,,0.5369901627815796,0.5743487409738346,0.7922138239530401,,1.454041184867599,0.8046684507094343
